id HH MM SS longitude latitude altitude adc_1_ch0_Temperature adc_1_ch1 adc_1_ch2 adc_1_ch3 adc_1_ch4 adc_1_ch5 adc_1_ch6 adc_1_ch7 adc_1_ch8 adc_2_ch0_Temperature adc_2_ch1 adc_2_ch2 adc_2_ch3 adc_2_ch4 adc_2_ch5 adc_2_ch6 adc_2_ch7 adc_2_ch8 temp hum pres temp_baro t_prog
1 09 25 18 4333.69777 00128.73953 132.8 215 0 1 2 0 37 1 1 2 98 0 0 4 3 0 0 0 1 24.750 54.810 795.83 22.78 566 
2 09 25 19 4333.69776 00128.74007 132.7 196 0 2 2 1 65 1 1 2 78 0 0 4 3 0 0 0 1 24.813 54.810 1003.7 24.48 1569 
3 09 25 20 4333.69763 00128.73987 132.8 184 0 2 2 0 70 1 0 0 66 0 0 4 3 0 0 0 1 24.813 54.810 1003.8 24.48 2564 
4 09 25 21 4333.69833 00128.73916 132.9 184 0 2 2 0 79 2 0 1 57 0 0 4 4 0 0 1 1 24.750 54.810 1003.8 24.48 3567 
5 09 25 22 4333.69836 00128.73889 133.1 184 0 1 2 0 79 1 0 2 58 0 0 4 3 0 0 0 1 24.813 54.795 1003.7 24.48 4561 
6 09 25 23 4333.69847 00128.73884 133.3 184 0 2 2 0 84 1 1 0 55 0 0 4 3 0 0 1 1 24.813 54.802 1003.7 24.48 5565 
7 09 25 24 4333.69893 00128.73889 133.6 184 0 1 0 1 85 0 1 1 59 0 0 4 3 0 0 0 0 24.750 54.818 1003.7 24.48 6560 
8 09 25 25 4333.69931 00128.73925 134.0 188 0 1 2 0 86 1 1 1 55 0 0 4 4 0 0 0 0 24.813 54.818 1003.7 24.49 7565 
9 09 25 26 4333.69963 00128.73935 134.2 184 0 1 3 0 82 1 1 1 59 0 0 4 2 0 0 1 2 24.750 54.818 1003.7 24.49 8558 
10 09 25 27 4333.69998 00128.73985 134.3 190 0 1 1 0 86 1 3 2 52 0 1 4 3 0 0 1 1 24.750 54.802 1003.7 24.49 9562 
11 09 25 28 4333.70056 00128.74012 134.8 185 0 1 3 2 87 1 0 2 57 0 0 4 3 0 0 0 0 24.813 54.795 1003.7 24.49 10555 
12 09 25 29 4333.70060 00128.73960 135.1 186 0 1 3 0 86 1 1 2 51 0 0 4 4 0 0 0 1 24.750 54.795 1003.7 24.49 11559 
13 09 25 30 4333.70030 00128.73961 135.5 180 0 2 1 1 86 1 1 1 57 0 0 4 3 0 0 0 1 24.750 54.825 1003.7 24.49 12555 
14 09 25 31 4333.70043 00128.73930 136.0 181 0 1 3 0 87 0 1 1 54 0 1 4 4 0 0 0 1 24.813 54.863 1003.7 24.50 13558 
15 09 25 32 4333.70022 00128.73900 136.1 176 0 1 1 1 85 1 1 2 56 0 0 4 4 0 0 1 0 24.750 54.856 1003.7 24.50 14553 
16 09 25 33 4333.69996 00128.73810 136.3 183 0 4 2 1 89 1 1 0 56 0 0 4 3 0 0 1 0 24.813 54.841 1003.7 24.50 15555 
17 09 25 34 4333.69944 00128.73722 135.9 184 0 1 2 1 87 0 1 0 58 0 0 4 4 0 0 0 1 24.813 54.825 1003.7 24.50 16549 
18 09 25 35 4333.69888 00128.73801 135.7 187 0 1 3 0 88 0 1 0 56 0 1 5 2 0 0 0 0 24.750 54.833 1003.7 24.50 17553 
19 09 25 36 4333.69875 00128.73811 136.1 180 0 1 2 0 83 1 2 1 55 0 0 4 4 0 0 0 1 24.750 54.833 1003.7 24.50 18548 
20 09 25 37 4333.69899 00128.73843 136.2 187 0 1 1 1 89 1 1 5 59 0 0 4 3 0 0 0 1 24.750 54.825 1003.7 24.50 19552 
21 09 25 38 4333.69834 00128.73846 136.7 188 0 0 2 1 86 1 0 0 54 0 1 4 4 0 0 0 1 24.750 54.818 1003.7 24.50 20546 
22 09 25 39 4333.69835 00128.73832 137.1 190 0 1 2 0 86 1 1 0 56 0 0 4 3 0 0 1 1 24.750 54.818 1003.7 24.50 21548 
23 09 25 40 4333.69728 00128.73823 137.4 190 0 1 2 1 87 1 2 1 57 0 1 4 4 0 0 0 0 24.813 54.818 1003.7 24.51 22545 
24 09 25 41 4333.69743 00128.73884 137.6 192 0 1 1 0 86 1 1 0 56 0 0 4 4 0 0 0 0 24.750 54.818 1003.7 24.51 23547 
25 09 25 42 4333.69716 00128.73901 137.4 185 0 0 3 0 84 1 1 1 56 0 0 4 3 0 0 1 1 24.750 54.833 1003.7 24.51 24542 
26 09 25 43 4333.69707 00128.73867 137.1 187 0 1 1 1 90 0 1 1 58 0 0 4 4 0 0 1 1 24.813 54.863 1003.7 24.51 25545 
27 09 25 44 4333.69697 00128.73898 136.9 190 0 2 2 0 86 1 1 1 58 0 0 4 3 0 0 0 1 24.813 54.925 1003.7 24.51 26544 
28 09 25 45 4333.69688 00128.73955 136.7 185 0 1 3 1 87 0 1 2 56 0 1 4 3 0 0 0 0 24.750 54.955 1003.7 24.51 27543 
29 09 25 46 4333.69815 00128.73928 134.5 178 0 2 1 1 87 0 1 0 53 0 0 4 4 0 0 0 1 24.813 54.963 1003.7 24.51 28537 
30 09 25 47 4333.69858 00128.73951 132.5 187 0 1 1 1 90 0 1 0 57 0 0 5 3 0 0 1 1 24.750 54.970 1003.7 24.51 29542 
31 09 25 48 4333.69839 00128.73969 132.2 182 0 1 2 1 87 2 1 0 57 0 0 4 3 0 0 1 1 24.750 54.963 1003.7 24.51 30536 
32 09 25 49 4333.69830 00128.73955 131.9 188 0 1 2 1 90 0 2 0 60 0 0 4 4 0 0 0 1 24.750 54.963 1003.7 24.51 31540 
33 09 25 50 4333.69837 00128.73932 131.5 183 0 1 2 1 87 1 1 0 57 0 1 4 4 0 0 0 1 24.750 54.963 1003.7 24.51 32533 
34 09 25 51 4333.69753 00128.73868 131.4 184 0 1 1 0 88 1 1 0 59 0 0 4 3 0 0 0 0 24.813 54.963 1003.7 24.52 33538 
35 09 25 52 4333.69749 00128.73840 131.0 183 0 2 1 1 88 0 1 2 56 0 1 5 4 0 0 0 1 24.750 54.993 1003.7 24.52 34532 
36 09 25 53 4333.69720 00128.73853 130.5 187 0 2 2 1 89 1 1 2 60 0 0 4 3 0 0 0 0 24.750 55.077 1003.7 24.52 35535 
37 09 25 54 4333.69703 00128.73870 130.4 182 0 1 2 0 85 1 1 2 54 0 0 4 3 0 0 1 0 24.750 55.146 1003.7 24.52 36530 
38 09 25 55 4333.69677 00128.73868 130.1 186 0 2 2 1 90 1 1 1 60 0 0 4 4 0 0 0 0 24.750 55.222 1003.7 24.52 37533 
39 09 25 56 4333.69569 00128.73837 130.1 183 0 2 2 0 84 2 1 1 55 0 0 3 3 0 0 1 1 24.813 55.260 1003.7 24.53 38528 
40 09 25 57 4333.69388 00128.73809 129.4 188 0 2 1 1 88 1 0 1 60 0 1 4 4 0 0 0 1 24.813 55.275 1003.7 24.53 39530 
41 09 25 58 4333.69183 00128.73784 128.4 192 0 1 2 1 94 1 1 0 54 0 0 4 3 0 0 0 0 24.813 55.291 1003.7 24.53 40526 
42 09 25 59 4333.69105 00128.73767 128.5 202 0 2 3 1 91 1 1 2 67 0 0 4 3 0 0 1 1 24.750 55.291 1003.7 24.53 41529 
43 09 26 00 4333.68971 00128.73870 127.6 191 0 2 2 0 85 1 0 1 61 0 1 3 4 0 0 0 2 24.750 55.291 1003.7 24.54 42524 
44 09 26 01 4333.68866 00128.73911 126.7 176 0 1 1 1 80 1 1 1 57 0 0 4 4 0 0 0 2 24.813 55.283 1003.7 24.54 43529 
45 09 26 02 4333.68888 00128.74080 126.4 196 0 1 1 0 93 1 0 2 42 0 0 4 3 0 0 1 1 24.750 55.275 1003.7 24.54 44522 
46 09 26 03 4333.68854 00128.74121 125.4 168 0 0 2 1 69 1 1 1 69 0 0 4 3 0 0 0 1 24.750 55.268 1003.7 24.55 45527 
47 09 26 04 4333.68773 00128.74177 124.5 198 0 0 2 0 99 1 1 0 33 0 0 4 3 0 0 0 1 24.750 55.260 1003.7 24.55 46520 
48 09 26 05 4333.68683 00128.74203 123.5 158 0 2 1 1 76 1 1 0 78 0 0 4 3 0 0 1 2 24.813 55.260 1003.7 24.55 47519 
49 09 26 06 4333.68755 00128.74264 122.9 160 0 2 2 1 82 1 1 1 40 0 0 3 4 0 0 0 1 24.813 55.253 1003.7 24.56 48519 
50 09 26 07 4333.68815 00128.74383 121.7 167 0 2 2 2 88 1 1 1 58 0 0 4 4 0 0 1 0 24.750 55.298 1003.7 24.56 49519 
51 09 26 08 4333.68824 00128.74425 120.9 207 0 1 1 0 103 1 1 0 90 0 0 4 2 0 0 0 1 24.813 55.573 1003.7 24.56 50514 
52 09 26 09 4333.68817 00128.74421 120.9 217 0 2 2 0 86 0 2 1 134 0 1 3 3 0 0 0 0 24.813 55.512 1003.7 24.57 51515 
53 09 26 10 4333.68796 00128.74482 121.0 215 0 2 1 0 91 1 2 2 112 0 1 4 4 0 0 0 0 24.813 55.413 1003.7 24.57 52514 
54 09 26 11 4333.68805 00128.74506 121.0 215 0 2 2 0 87 0 1 2 97 0 0 0 4 0 0 0 0 24.813 55.375 1003.7 24.57 53518 
55 09 26 12 4333.68772 00128.74509 120.9 211 0 1 3 1 93 1 0 0 89 0 0 4 4 0 0 0 1 24.750 55.352 1003.7 24.58 54512 
56 09 26 13 4333.68797 00128.74585 120.7 207 0 1 1 0 88 1 0 1 90 0 1 4 3 0 0 1 0 24.813 55.329 1003.7 24.58 55516 
57 09 26 14 4333.68748 00128.74611 119.9 211 0 1 1 0 89 1 2 1 82 0 0 4 4 0 0 0 1 24.813 55.329 1003.7 24.58 56511 
58 09 26 15 4333.68715 00128.74664 119.1 207 0 1 2 0 86 1 1 0 84 0 0 5 0 0 0 0 0 24.813 55.283 1003.7 24.59 57513 
59 09 26 16 4333.68706 00128.74704 118.1 199 0 1 1 0 89 2 1 0 82 0 1 4 3 0 0 0 1 24.813 55.253 1003.7 24.59 58509 
60 09 26 17 4333.68741 00128.74768 117.3 187 0 2 2 0 84 1 0 1 83 0 0 4 2 0 0 1 1 24.813 55.291 1003.7 24.60 59515 
